Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_22-16-24,0,Blue,76561198371123193,Jesse Pinkman,Steam,119,0,0,1,1,0,0,0,0,0:15
2025-09-07_22-16-24,0,Blue,390bc5ff6a3d4fd6ab0efe2bbb5f4a80,Na3c_22,Epic,4,0,0,0,0,0,0,0,0,0:05
2025-09-07_22-16-24,0,Blue,9c70177c1e5441fda8028a40c4aea4f1,hakuunaaaaa,Epic,247,0,0,2,0,0,0,0,0,0:44
2025-09-07_22-16-24,1,Orange,8416578816119374207,Legends_io,PS4,164,1,0,0,2,0,0,0,0,0:23
2025-09-07_22-16-24,1,Orange,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,204,0,2,0,4,0,0,0,10.2115,0:25
2025-09-07_22-16-24,1,Orange,2535453192284503,TSynix,XboxOne,246,1,0,1,1,0,0,0,0,0:33
