Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_21-41-38,0,Blue,1088181544124394024,O-GammeR-009,PS4,220,0,0,1,2,0,0,0,0,0:51
2025-09-07_21-41-38,0,Blue,7821346112581605404,brew16ForTheBoys,PS4,247,0,0,1,2,0,0,0,0,0:43
2025-09-07_21-41-38,0,Blue,5743452695990061812,hazzacraven415,PS4,146,0,0,0,2,0,0,0,0,0:52
2025-09-07_21-41-38,1,Orange,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,272,0,1,0,2,2,0,0,21.2131,1:07
2025-09-07_21-41-38,1,Orange,511929079049227481,krakabek,PS4,207,0,0,2,3,1,0,0,0,0:34
2025-09-07_21-41-38,1,Orange,c6fa7dffec1448fc932d067cdf9bf80b,optical ahmed,Epic,471,1,0,3,2,0,0,0,0,0:51
