Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_22-00-47,0,Blue,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,383,1,0,2,4,0,0,0,29.4916,0:49
2025-09-07_22-00-47,0,Blue,76561198160833719,ilfilfilf,Steam,533,2,1,2,4,2,0,0,0,1:13
2025-09-07_22-00-47,0,Blue,2533274865066920,xEth1308,XboxOne,252,0,0,1,2,1,0,0,0,1:11
2025-09-07_22-00-47,1,Orange,81d53b305a4245ba84b80befc29f1508,Spiikoh,Epic,284,1,1,0,3,2,0,0,0,0:58
2025-09-07_22-00-47,1,Orange,5856731833268559314,TheHK2020,PS4,409,1,1,1,5,0,0,0,0,0:55
2025-09-07_22-00-47,1,Orange,2533274881225934,VisionaryBroom5,XboxOne,244,0,0,2,0,2,0,0,0,1:03
