Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_22-05-55,0,Blue,8416578816119374207,Legends_io,PS4,164,1,0,0,1,0,0,0,0,0:12
2025-09-07_22-05-55,0,Blue,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,493,3,1,0,5,0,0,0,15.6689,0:45
2025-09-07_22-05-55,0,Blue,2535453192284503,TSynix,XboxOne,316,0,2,2,0,0,0,0,0,0:37
2025-09-07_22-05-55,1,Orange,76561198014045293,Chalky93,Steam,160,0,1,0,2,0,0,0,0,0:32
2025-09-07_22-05-55,1,Orange,76561198135219409,Fozzy,Steam,192,1,0,0,1,0,0,0,0,0:21
2025-09-07_22-05-55,1,Orange,76561198023315737,NUNNERS69,Steam,28,0,0,0,0,0,0,0,0,0:18
