Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_10-49-13,0,Blue,06929f98a7a64f2e8b54d10da906bcd5,Artúú,Epic,224,1,0,0,2,2,0,0,0,0:46
2025-09-07_10-49-13,0,Blue,2535465814593670,NoFac36727,XboxOne,377,1,1,1,1,1,0,0,0,1:02
2025-09-07_10-49-13,0,Blue,2535406070141296,SmoothxNi,XboxOne,234,0,1,1,4,1,0,0,0,0:35
2025-09-07_10-49-13,1,Orange,76561198123231497,Flamezforever,Steam,495,1,1,2,2,0,0,0,0,1:04
2025-09-07_10-49-13,1,Orange,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,414,2,1,0,4,0,0,0,23.2447,0:49
2025-09-07_10-49-13,1,Orange,76561197960322401,rikshot,Steam,276,0,0,3,1,0,0,0,0,0:37
