Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_00-52-53,0,Blue,2535425069758411,EliteGoddd07,XboxOne,1078,4,3,1,15,3,0,0,0,1:56
2025-09-07_00-52-53,0,Blue,2535426681497088,Rondon065303,XboxOne,1096,7,2,0,11,1,0,0,0,1:15
2025-09-07_00-52-53,1,Orange,5b28cecb55664479977e68ffbdcd0dd4,FeldwebelSterzik,Epic,792,2,0,6,3,0,0,0,0,1:20
2025-09-07_00-52-53,1,Orange,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,84,0,0,0,0,1,0,0,26.5715,0:33
