Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_13-36-53,0,Blue,ae1d9eeb27d34753a386701e1a261485,ASAP rzqvt,Epic,274,2,0,0,3,0,0,0,0,0:14
2025-09-07_13-36-53,0,Blue,b94ba71f21d2405c9db8c39c48c58b63,MEPHI-STO,Epic,228,0,2,2,0,0,0,0,0,0:24
2025-09-07_13-36-53,0,Blue,0a62e92d5ffe4e9c8eba73c33621ce81,yougo-69,Epic,80,0,0,1,1,0,0,0,0,0:13
2025-09-07_13-36-53,1,Orange,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,88,0,0,0,1,0,0,0,7.24781,0:21
2025-09-07_13-36-53,1,Orange,debf440a2a6a4806bc144d843b4cb13d,RT ****,Epic,94,0,0,1,2,0,0,0,0,0:15
2025-09-07_13-36-53,1,Orange,0c1777af933d4958ae62fc40a09d0573,Système_Galaxy,Epic,12,0,0,0,0,0,0,0,0,0:04
