Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_22-12-53,0,Blue,76561198043498930,DemonWind,Steam,214,0,1,1,1,0,0,0,0,0:49
2025-09-07_22-12-53,0,Blue,7060393809979474949,R-7O7-G,PS4,341,1,0,2,0,0,0,0,0,0:28
2025-09-07_22-12-53,0,Blue,1809654300137077999,camila_anjo,PS4,256,1,1,0,2,0,0,0,0,0:55
2025-09-07_22-12-53,1,Orange,8416578816119374207,Legends_io,PS4,78,0,0,0,2,1,0,0,0,0:40
2025-09-07_22-12-53,1,Orange,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,276,0,1,1,3,1,0,0,22.8834,1:04
2025-09-07_22-12-53,1,Orange,2535453192284503,TSynix,XboxOne,220,1,0,0,3,1,0,0,0,1:03
