Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_00-15-42,0,Blue,d4fc1b62fa004f4f921cc2d81c68dba1,Progamer5672607,Epic,280,0,2,0,2,2,0,0,0,1:05
2025-09-07_00-15-42,0,Blue,2535463417767144,Y itzryan Y,XboxOne,673,4,0,1,4,1,0,0,0,1:08
2025-09-07_00-15-42,1,Orange,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,635,2,0,3,5,1,0,0,23.9069,1:12
2025-09-07_00-15-42,1,Orange,8973389851406062394,Strawberry_Heed_,PS4,339,1,1,1,1,1,0,0,0,0:54
