Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_21-11-09,0,Blue,13203a612da743038c4b23d8027a8685,Andronym90,Epic,290,0,1,2,1,0,0,0,0,0:45
2025-09-07_21-11-09,0,Blue,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,360,2,0,0,5,2,0,0,21.8285,0:56
2025-09-07_21-11-09,0,Blue,76561198245941808,ojsamurai,Steam,342,1,0,2,1,1,0,0,0,0:32
2025-09-07_21-11-09,1,Orange,2535473371123783,Inkeyz1978,XboxOne,260,0,2,0,1,0,0,0,0,0:58
2025-09-07_21-11-09,1,Orange,2535472703811689,ItsSAMMYBOI92,XboxOne,265,0,0,2,1,1,0,0,0,0:52
2025-09-07_21-11-09,1,Orange,2535463786336273,grx charlie,XboxOne,380,2,0,0,7,1,0,0,0,0:55
