Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_11-57-23,0,Blue,4069616603009937876,modernd-Wohnbau,PS4,54,0,0,0,2,0,0,0,0,0:12
2025-09-07_11-57-23,0,Blue,3266013220156420923,mxsty_dxrk,PS4,112,0,0,0,5,0,0,0,0,0:23
2025-09-07_11-57-23,1,Orange,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,830,2,1,5,4,0,0,0,0,0:23
2025-09-07_11-57-23,1,Orange,13232838324701109786,emilian932,Switch,284,1,2,0,1,0,0,0,0,0:23
