Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_22-20-36,0,Blue,8416578816119374207,Legends_io,PS4,166,0,1,1,1,0,0,0,0,0:27
2025-09-07_22-20-36,0,Blue,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,479,3,1,0,2,0,0,0,12.4553,0:23
2025-09-07_22-20-36,0,Blue,2535453192284503,TSynix,XboxOne,268,1,1,1,1,0,0,0,0,0:19
2025-09-07_22-20-36,1,Orange,76561198074166045,Doublewaffle,Steam,54,0,0,0,1,0,0,0,0,0:25
2025-09-07_22-20-36,1,Orange,5351943870226099073,Mutantis,PS4,76,0,0,0,0,1,0,0,0,0:22
2025-09-07_22-20-36,1,Orange,189794216811180488,snorreulv,PS4,122,0,0,1,1,0,0,0,0,0:23
