Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_11-54-22,0,Blue,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,1364,1,1,12,10,0,0,0,0,1:01
2025-09-07_11-54-22,0,Blue,13232838324701109786,emilian932,Switch,1958,5,1,13,13,0,0,0,0,1:15
2025-09-07_11-54-22,1,Orange,8759980075270416908,KYNOU-54,PS4,1528,1,0,13,24,0,0,0,0,1:43
2025-09-07_11-54-22,1,Orange,2055634967578925952,Omki_07,PS4,398,1,0,2,9,0,0,0,0,1:01
