Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_12-06-03,0,Blue,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,2432,3,1,19,14,0,0,0,0,1:41
2025-09-07_12-06-03,0,Blue,13232838324701109786,emilian932,Switch,577,2,1,1,7,0,0,0,0,0:57
2025-09-07_12-06-03,1,Orange,2535405865728485,NotToxic1276,XboxOne,1242,4,0,5,19,0,0,0,0,1:40
2025-09-07_12-06-03,1,Orange,8319941996155710048,johannkwas,PS4,265,0,1,1,5,0,0,0,0,0:24
2025-09-07_12-06-03,1,Orange,e4b354848b074c5a9df92248e4264dea,ⱯⴌꙧⱸḊツ,Epic,130,0,1,0,4,0,0,0,0,0:17
