Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_00-20-45,0,Blue,6019430081836634904,30 fps,Switch,280,2,0,0,2,0,0,0,0,0:24
2025-09-07_00-20-45,0,Blue,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,170,0,1,0,2,0,0,0,16.105,0:47
2025-09-07_00-20-45,1,Orange,7350937393963562967,Zenix563,PS4,382,2,1,0,2,1,0,0,0,0:45
2025-09-07_00-20-45,1,Orange,7319462083484966977,xXdouble_GGXx,PS4,390,2,1,0,2,0,0,0,0,0:44
