Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_21-23-54,0,Blue,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,271,0,0,1,1,0,0,0,25.5715,1:03
2025-09-07_21-23-54,0,Blue,2714964614040620166,Pop_eyeS712,PS4,281,0,1,2,1,0,0,0,0,0:47
2025-09-07_21-23-54,0,Blue,3c6680d6334c4844a0b2415623235a8a,vCrₓzys,Epic,294,1,0,0,3,2,0,0,0,0:51
2025-09-07_21-23-54,1,Orange,76561198050444431,Squirtle Alabastia,Steam,370,1,0,2,3,0,0,0,0,0:59
2025-09-07_21-23-54,1,Orange,6573683899014341755,Suprem_M3L_yt,PS4,252,1,0,0,4,0,0,0,0,0:42
2025-09-07_21-23-54,1,Orange,8655050df1f6461da5c0b352507f9e5f,z1n00_,Epic,158,0,0,1,1,1,0,0,0,0:37
