Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-06_20-22-55,0,Anything,2535424687083496,DjShaleMusic,XboxOne,880,0,1,2,50,0,0,0,0,1:09
2025-09-06_20-22-55,0,Anything,2535435136308487,Musty1480,XboxOne,1050,1,0,1,63,0,0,0,0,1:39
2025-09-06_20-22-55,1,Avenging Armadillos,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,706,1,0,0,34,2,0,0,25.9004,1:27
2025-09-06_20-22-55,1,Avenging Armadillos,1803095787309166406,NielsSem16,PS4,1472,1,0,4,87,2,0,0,0,1:35
