Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_20-48-31,0,Blue,43d114027b58412eb6567eae9180e081,Ehune,Epic,254,2,0,0,3,0,0,0,0,0:07
2025-09-07_20-48-31,0,Blue,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,52,0,0,0,0,0,0,0,7.79144,0:17
2025-09-07_20-48-31,0,Blue,3973590010695146841,hugoez0207,PS4,200,0,2,1,3,0,0,0,0,0:29
2025-09-07_20-48-31,1,Orange,e5d95c71a1ee41fb850e65022e0a9085,Glemyr,Epic,6,0,0,0,0,0,0,0,0,0:07
2025-09-07_20-48-31,1,Orange,76561198077490375,RIEVAX 77,Steam,48,0,0,0,1,0,0,0,0,0:15
2025-09-07_20-48-31,1,Orange,4df6ec94b3e94753833ae2cfc3c67219,kuroズ,Epic,135,0,0,1,0,0,0,0,0,0:33
