Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_21-28-45,0,Blue,6df1ff9b44ef49e69f27e0b1e8657e25,Krok28,Epic,50,0,0,0,0,0,0,0,0,0:24
2025-09-07_21-28-45,0,Blue,1870465677750685611,Newschool7000,PS4,50,0,0,0,1,0,0,0,0,0:15
2025-09-07_21-28-45,1,Orange,5096138673326952121,Adann_jpg,PS4,316,1,2,1,1,0,0,0,0,0:25
2025-09-07_21-28-45,1,Orange,2658754258874314502,Leo_2434x,PS4,284,2,0,0,2,0,0,0,0,0:17
2025-09-07_21-28-45,1,Orange,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,135,1,0,0,2,0,0,0,10.9861,0:16
