Timestamp,TeamNum,TeamName,AccountId,PlayerName,PlatformName,Score,Goals,Assists,Saves,Shots,Demolishes,Pads,Boosts,BoostUsage,PossessionTime
2025-09-07_21-17-21,0,Blue,13203a612da743038c4b23d8027a8685,Andronym90,Epic,204,0,0,2,5,1,0,0,0,0:39
2025-09-07_21-17-21,0,Blue,b94cb8de42bc4e64bc9359d16d50ca4e,Korum_76,Epic,227,0,0,1,1,1,0,0,0,1:19
2025-09-07_21-17-21,0,Blue,1d9d6d2b81df4db6aa2cc265f60f5f58,Turbovaihde,Epic,149,0,0,2,0,1,0,0,0,0:30
2025-09-07_21-17-21,1,Orange,76561198011157004,Brombeermann,Steam,362,0,1,3,2,3,0,0,0,0:51
2025-09-07_21-17-21,1,Orange,30404f3306ed41a0ae1ad3cd2e0a07ec,Elifas81,Epic,402,2,1,1,4,0,0,0,0,0:38
2025-09-07_21-17-21,1,Orange,9e8f72b9b88e456684a7efffe83401bc,Mithanne,Epic,378,1,1,1,4,1,0,0,23.2152,0:44
